id,title,artist,year,note,path,startAt,chorusAt
1,炎,LiSA,2020,映画『劇場版「鬼滅の刃」無限列車編』主題歌,https://www.youtube.com/watch?v=4DxL6IKmXx4,10.6,76.3
2,Bling-Bang-Bang-Born,Creepy Nuts,2024,『マッシュル-MASHLE-』OP,https://www.youtube.com/watch?v=mLW35YMzELE,0,63.0
3,アイドル,YOASOBI,2023,『【推しの子】』OP,https://www.youtube.com/watch?v=ZRtdQ81jPUQ,0,54.9
4,ライラック,Mrs. GREEN APPLE,2024,『忘却バッテリー』OP,https://www.youtube.com/watch?v=QjrkrVmC-8M,7.7,71.6
5,怪物,YOASOBI,2021,『BEASTARS』OP,https://www.youtube.com/watch?v=dy90tA3TT1c,2.1,36.6
6,廻廻奇譚,Eve,2020,『呪術廻戦』OP,https://www.youtube.com/watch?v=1tk1pqwrOys,0,48.1
7,勇者,YOASOBI,2023,『葬送のフリーレン』OP,https://www.youtube.com/watch?v=OIBODIPC_8Y,0,58.3
8,打上花火,DAOKO×米津玄師,2017,映画『打ち上げ花火、下から見るか? 横から見るか?』主題歌,https://www.youtube.com/watch?v=-tKVN2mAKRI,3.7,63.4
9,SPECIALZ,King Gnu,2023,『呪術廻戦』OP,https://www.youtube.com/watch?v=fhzKLBZJC3w,0,51.2
10,残響散歌,Aimer,2021,『鬼滅の刃 遊郭編』OP,https://www.youtube.com/watch?v=tLQLa6lM3Us,0,48.3
11,オトノケ,Creepy Nuts,2024,『ダンダダン』OP,https://www.youtube.com/watch?v=tRwHpyOq4P4,5.5,50.3
12,インフェルノ,Mrs.GREEN APPLE,2019,『炎炎ノ消防隊』OP,https://www.youtube.com/watch?v=wfCcs0vLysk,0,54.8
13,絆ノ奇跡,MAN WITH A MISSION×milet,2023,『鬼滅の刃 刀鍛冶の里編』OP,https://www.youtube.com/watch?v=Jb6Zlg30rgk,0,56.5
14,青のすみか,キタニタツヤ,2023,『呪術廻戦 懐玉・玉折』OP,https://www.youtube.com/watch?v=zuoVd2QNxJo,0,47.5
15,ファタール,GEMN,2024,『【推しの子】』OP,https://www.youtube.com/watch?v=8tQiWHXSGN0,0,55.1
16,ReawakeR (feat. Felix of Stray Kids),LiSA,2025,『俺だけレベルアップな件』OP,https://www.youtube.com/watch?v=oe4XJ851oOk,0,36.2
17,晴る,ヨルシカ,2024,『葬送のフリーレン』OP,https://www.youtube.com/watch?v=CkvWJNt77mU,0.3,50
18,ミックスナッツ,Official髭男dism,2022,『SPY×FAMILY』OP,https://www.youtube.com/watch?v=CbH2F0kXgTY,9.2,65.8
19,前前前世 (movie ver.),RADWIMPS,2016,映画『君の名は。』挿入歌,https://www.youtube.com/watch?v=PDSkFeMVNFs,0,69.2
20,Cry Baby,Official髭男dism,2021,『東京リベンジャーズ』OP,https://www.youtube.com/watch?v=O1bhZgkC4Gw,0,48
21,虹,菅田将暉,2020,映画『STAND BY ME ドラえもん 2』主題歌,https://www.youtube.com/watch?v=hkBbUf4oGfA,2.5,64.1
22,私は最強,Ado,2022,映画『ONE PIECE FILM RED』劇中歌,https://www.youtube.com/watch?v=sk1Z-Hqwwog,0.6,66.2
23,オレンジ,SPYAIR,2024,映画『劇場版ハイキュー!! ゴミ捨て場の決戦』主題歌,https://www.youtube.com/watch?v=YkVjY1F-Eoc,0,61.9
24,花に亡霊,ヨルシカ,2020,『泣きたい私は猫をかぶる』主題歌,https://www.youtube.com/watch?v=9lVPAWLWtWc,0,39
25,One Last Kiss,宇多田ヒカル,2021,映画『シン・エヴァンゲリオン劇場版𝄇』テーマソング,https://www.youtube.com/watch?v=0Uhh62MUEic,6.1,61.5
