id,title,artist,year,note,path,startAt,chorusAt
1,少女A,中森明菜,1982,,https://www.youtube.com/watch?v=pNNn0izjwDI,0,64.6
2,プラスティック・ラヴ,竹内まりや,1984,,https://www.youtube.com/watch?v=T_lC2O1oIew,10.5,115.8
3,ロンリー・チャップリン,鈴木聖美 with Rats&Star,1987,,https://www.youtube.com/watch?v=6LNB5mN_y2g,8.9,60
4,フレンズ,レベッカ,1985,,https://www.youtube.com/watch?v=0AlITEvgs1Y,1.3,62.8
5,M,プリンセス プリンセス,1988,,https://www.youtube.com/watch?v=rzfLx6TVCv0,0,63.4
6,Get Wild,TM NETWORK,2020,,https://www.youtube.com/watch?v=r107W1YXrSM,0,62.9
7,Diamonds,プリンセス プリンセス,1989,,https://www.youtube.com/watch?v=IKjRLKQo7O0,0,77.7
8,目を閉じておいでよ,BARBEE BOYS,1989,,https://www.youtube.com/watch?v=MrcNSFYCxf4,0,57.3
9,君は天然色,大瀧詠一,1981,,https://www.youtube.com/watch?v=L-hyY-1luHs,0,74.5
10,My Revolution,渡辺美里,1986,,https://www.youtube.com/watch?v=zfcO3Y58m24,0,83.7
11,初恋,村下孝蔵,1983,,https://www.youtube.com/watch?v=u2iErecCC4c,0,54.3
12,とんぼ,長渕剛,1988,,https://www.youtube.com/watch?v=jIe5GtVhD0k,0,104.2
13,夏をあきらめて,研ナオコ Naoko Ken,1982,,https://www.youtube.com/watch?v=duXT3U4ddNE,0,68.6
14,悪女,中島みゆき,1981,,https://www.youtube.com/watch?v=ZkyCrUolctw,0,78.3
15,ひとり上手,中島みゆき,1980,,https://www.youtube.com/watch?v=bIqnDx_H5Oo,0,77.5
16,Runner,爆風スランプ,1988,,https://www.youtube.com/watch?v=KWZf8MrUm2U,0,69.7
17,GLORIA,ZIGGY,1988,,https://www.youtube.com/watch?v=DDlC22Exc8I,0,97.1
18,乾杯,長渕剛,1980,,https://www.youtube.com/watch?v=7emBUSm1i54,0,72.2
19,ミス・ブランニュー・デイ（MISS BRAND-NEW DAY）,サザンオールスターズ,1984,,https://www.youtube.com/watch?v=FiDaqa4xKbU,0,112.8
20,リンダ リンダ,THE BLUE HEARTS,1987,,https://www.youtube.com/watch?v=RYC71PAuIKE,0,66.8
21,タッチ,岩崎良美,1985,,https://www.youtube.com/watch?v=WW6OgFqTNfg,0,50.1
22,卒業,斉藤由貴,1985,,https://www.youtube.com/watch?v=iTQWXqAbO-Y,0,122.4
23,ルビーの指環,寺尾聰,1981,,https://www.youtube.com/watch?v=ZYeVfKtIH4c,0,66.3
24,TRAIN-TRAIN,THE BLUE HEARTS,1988,,https://www.youtube.com/watch?v=BSkLe-EOq5U,31.4,104.5
25,翼の折れたエンジェル,中村あゆみ,1985,,https://www.youtube.com/watch?v=XmYKA_NRvEc,18.6,99.1
